linkNumber,reviewBy,reviewRating,reviewAt,reviewDescription,city
8,Sheeza,3/5 Stars,24-06-21,Taste was good but quantity was very less....,Faisalabad
8,Kanwal,3/5 Stars,02-06-21,Taste was not good,Faisalabad
8,Osama,5/5 Stars,31-05-21,"The two breakfast platters I ordered were good, both in taste, quality and presentation. And especially the Puri and Paratha, perfect. Not that much oily.",Faisalabad
8,Viki,5/5 Stars,19-05-21,Shake was missing,Faisalabad
8,Jahanzeb,5/5 Stars,10-04-21,Club Sandwich Classic is best on town so far,Faisalabad
8,Osama,1/5 Stars,06-04-21,I am disappointed with quantity of the Gol Gappy. Only 8. They should have been 12 then the price would have been justified. Quality was good no doubt but my low rating is just for low quantity of the item that I ordered.,Faisalabad
8,Shahid,1/5 Stars,25-03-21,Frad frad  420 ropy li a or srf 2 gulab jaman dal kar bhj d a 400 mn to pura 1kg gulab jaman asakty hn very bad experience 400 zaya ki a as k bad ab order ni karna,Faisalabad
8,Ayan,5/5 Stars,25-03-21,Awesome food. Nice packaging. Add more items to the menu.,Faisalabad
9,Dr.,2/5 Stars,13-09-21,I LIKE Pizza most of the tym but this time pizza was not fresh and very cold.,Faisalabad
9,Fatima,1/5 Stars,12-09-21,Food wasn't fresh,Faisalabad
9,Ahsän,1/5 Stars,12-09-21,I product was missing,Faisalabad
9,Hareem,1/5 Stars,12-09-21,I paid for a ranch sauce that was not delivered with the order and the driver turned his phone off. Not appropriate at all. My money gone. No sauce. Why?,Faisalabad
9,Madeeha,2/5 Stars,11-09-21,Food was cold.,Faisalabad
9,Abdul,3/5 Stars,10-09-21,Pepperoni tasted burnt this time and was miidsing on a few slices,Faisalabad
9,Areeb,3/5 Stars,10-09-21,Size of chicken Kickers was smaller this time. Wedges were good..,Faisalabad
9,Muhammad,1/5 Stars,09-09-21,Ordering from Dominos was the worst decision i made on FoodPanda. It is actually disgusting how much money they charge while delivering the worst quality of food. The wings were not properly cooked. The flavour on the wings were terrible and there was barely any sauce. I had to throw more than half the wings because my guests were awfully confused at what type of wings we ordered. I will never order from Dominos again and I sincerely regret ordering from them prior.,Faisalabad
9,Izhar,1/5 Stars,07-09-21,Pizza was not good .,Faisalabad
9,mustafa,1/5 Stars,06-09-21,the pizza was destroyed and it was so thin there was a smell comming out of the chikens it was soo bad that i want my money back or give me a refund.,Faisalabad
9,Myra,5/5 Stars,05-09-21,Loved the food! But bad delivery,Faisalabad
9,Saud,5/5 Stars,05-09-21,Pizza was so fresh and hot. Domino’s services are always excellent.,Faisalabad
9,Syed,1/5 Stars,04-09-21,Pathetic. Waste of money.,Faisalabad
9,Jiyah,5/5 Stars,03-09-21,Always the best :),Faisalabad
9,Hammad,1/5 Stars,03-09-21,It was delivered too late and for Rs. 550 pizza was so small. I was bot even full.,Faisalabad
9,Farhan,1/5 Stars,03-09-21,extremely pathetic taste...,Faisalabad
9,Rammal,4/5 Stars,30-08-21,The rider didn’t ask to return the change and fled off with it.,Faisalabad
9,MuhammadAsad,5/5 Stars,30-08-21,Taste was goof,Faisalabad
9,Anas,4/5 Stars,29-08-21,"You should include ""whole wheat, oil free"" pizza option in your menu.
The pizza was good.",Faisalabad
9,Syed,1/5 Stars,28-08-21,Still haven’t received my order it’s almost 2 hours,Faisalabad
9,MohammadMashood,1/5 Stars,27-08-21,"I wasted my rs1500 on a restaurant that didn't even existed. Did not receive my order, running a restaurant is another talk, doing fraud by virtually claiming a non existing branch of such a big food chain is completely different thing. What to revew abot things that dont even exists.",Faisalabad
9,Yasir,5/5 Stars,27-08-21,"They have improved their Pizza, Creamy Pakistani Hot was great!",Faisalabad
9,Hassan,5/5 Stars,25-08-21,Great!!,Faisalabad
9,Myla,3/5 Stars,24-08-21,The food didn't taste good. The crust was extremely soggy and uncooked.,Faisalabad
9,khaula,1/5 Stars,23-08-21,Bad,Faisalabad
9,N6,5/5 Stars,22-08-21,"Good, rider was very friendly 💯💯",Faisalabad
9,Fatima,1/5 Stars,20-08-21,Horrible.,Faisalabad
9,Jalal,5/5 Stars,20-08-21,"Bakwas taste
Waste of money
Also riders should keep the change",Faisalabad
9,Mian,1/5 Stars,20-08-21,Chicken wings were not thats much good!i was expecting something crispy,Faisalabad
9,Waseem,1/5 Stars,19-08-21,I order a chicken pizza and I got pizza full off cheeze and and pizza bread. Kindly don’t less 50% or any discounts when u can not deliver the actual quality 🙏,Faisalabad
9,Sadia,5/5 Stars,19-08-21,Excellent,Faisalabad
9,Aswa,3/5 Stars,18-08-21,Base was not baked properly,Faisalabad
9,Mian,1/5 Stars,18-08-21,Order was 45 minutes late,Faisalabad
9,Kanwal,5/5 Stars,17-08-21,It was good,Faisalabad
9,Marina,1/5 Stars,17-08-21,I didn't get my order,Faisalabad
9,salahuddin,5/5 Stars,17-08-21,Outstanding,Faisalabad
