foodID,restaurantID,foodNumber,linkNumber,cityCode,foodName,foodPrice,foodImage,city
r5449,r3,5449,3,r,Nuggets,from Rs. 220,https://images.deliveryhero.io/image/fd-pk/Products/6758984.jpg?width=200,Rawalpindi
r5450,r3,5450,3,r,Smack Cheesy Balls,Rs. 299,https://images.deliveryhero.io/image/fd-pk/Products/5660819.jpg?width=200,Rawalpindi
r5451,r3,5451,3,r,Smack Special Fries,Rs. 250,https://images.deliveryhero.io/image/fd-pk/Products/6713516.jpg?width=200,Rawalpindi
r5452,r3,5452,3,r,Chicken Spud,from Rs. 249,https://images.deliveryhero.io/image/fd-pk/Products/5660816.jpg?width=200,Rawalpindi
r5453,r3,5453,3,r,Potato Skins,Rs. 249,https://images.deliveryhero.io/image/fd-pk/Products/5660684.jpg?width=200,Rawalpindi
r5454,r3,5454,3,r,BBQ Fries,Rs. 220,https://images.deliveryhero.io/image/fd-pk/Products/6713515.jpg?width=200,Rawalpindi
r5455,r3,5455,3,r,Masala Fries,Rs. 200,https://images.deliveryhero.io/image/fd-pk/Products/6713513.jpg?width=200,Rawalpindi
r5456,r3,5456,3,r,Cheese Bread,Rs. 199,https://images.deliveryhero.io/image/fd-pk/Products/5660685.jpg?width=200,Rawalpindi
r5457,r3,5457,3,r,Plain Fries,Rs. 150,https://images.deliveryhero.io/image/fd-pk/Products/6713509.jpg?width=200,Rawalpindi
r5458,r3,5458,3,r,Garlic Bread,Rs. 149,https://images.deliveryhero.io/image/fd-pk/Products/5660686.jpg?width=200,Rawalpindi
r5459,r3,5459,3,r,Soft Drink,from Rs. 60,https://images.deliveryhero.io/image/fd-pk/Products/5660657.jpg?width=200,Rawalpindi
r5460,r3,5460,3,r,Mineral Water,from Rs. 50,https://images.deliveryhero.io/image/fd-pk/Products/5660669.jpg?width=200,Rawalpindi
r5461,r3,5461,3,r,BBQ Dip Sauce,Rs. 50,https://images.deliveryhero.io/image/fd-pk/Products/5660825.jpg?width=200,Rawalpindi
r5462,r3,5462,3,r,Smack Special Dip Sauce,Rs. 50,https://images.deliveryhero.io/image/fd-pk/Products/5660832.jpg?width=200,Rawalpindi
r5463,r3,5463,3,r,Thousand Island Dip Sauce,Rs. 50,https://images.deliveryhero.io/image/fd-pk/Products/5660833.jpg?width=200,Rawalpindi
