reviewID,restaurantID,reviewNumber,linkNumber,cityCode,reviewBy,reviewRating,reviewAt,reviewDescription,city
i353,i5,353,5,i,Imtiaz,5/5 Stars,20-08-21,Absolutely fabulous,Islamabad
i354,i5,354,5,i,Rida,4/5 Stars,16-08-21,Ordered a Hot n Sour. It was nice as always. Just needs slight improvement to taste. 🤗,Islamabad
i355,i5,355,5,i,Taha,5/5 Stars,16-08-21,No fork and spoon though.,Islamabad
i356,i5,356,5,i,Abdul,1/5 Stars,15-08-21,"Worst food, expired beef, noodles without chicken and just 2 mushroom pieces. Are you guys serious? 800 for this 50 Rs noodles?? Have to throw beef chilli and noodles straightaway. Not buying anymore from you.",Islamabad
i357,i5,357,5,i,Arsalan,5/5 Stars,14-08-21,Authentic Asian foods. I ordered the Crispy beef and Kung pao chicken and both of them were delicious and flavorful. Authentic Chinese food flavor and smell. Highly recommended.,Islamabad
i358,i5,358,5,i,Rabia,1/5 Stars,09-08-21,Pathetic smelling beef. Wasnt edible. Could not eat it. Threw it away. Stayed hungry,Islamabad
i359,i5,359,5,i,Zubia,3/5 Stars,09-08-21,Food was so so,Islamabad
i360,i5,360,5,i,Abdul,5/5 Stars,09-08-21,Good chinese food.,Islamabad
i361,i5,361,5,i,Zahid,5/5 Stars,09-08-21,Best food....economical rates,Islamabad
i362,i5,362,5,i,moiz,2/5 Stars,05-08-21,baasi khana,Islamabad
i363,i5,363,5,i,Rida,5/5 Stars,04-08-21,"Ordered Chicken Chilli Vegetable with Egg Fried Rice and Hot n Sour and Chicken Corn Soup. All tasted good, was fresh, was clean and I am very happy. Thank you. Keep it up!",Islamabad
i364,i5,364,5,i,Ushna,1/5 Stars,29-07-21,Didnt like this food.,Islamabad
i365,i5,365,5,i,Glowing,5/5 Stars,29-07-21,Great taste.!! Hot wings and dumplings were so amazing... Gonna reorder it soon!,Islamabad
i366,i5,366,5,i,Mariam,5/5 Stars,29-07-21,Quantity issues,Islamabad
i367,i5,367,5,i,Laiba,4/5 Stars,29-07-21,Delicious,Islamabad
i368,i5,368,5,i,Rida,5/5 Stars,26-07-21,"Ordered Chicken Chilli Dry with Egg Fried Rice, Hot and Sour soup and PP Special Soup. All was fresh and tasted great. Kee up the good work and don't change.",Islamabad
i369,i5,369,5,i,Annas,5/5 Stars,26-07-21,Really good and tasty,Islamabad
i370,i5,370,5,i,Wajid,2/5 Stars,24-07-21,"I regularly place order on Ping-Pong. The food quality varies. But todays food was a waste of money and our lunch was ruined. Chicken Munchurian was full of vinegar. I wish the cook had tasted it before sendong to us. The sesame chicken was bone dry, chewy and tasteless. The rice quality and quantity was also not upto the mark.
With such food quality, this resturant will surely not remain on my choice list.
Unless some responsible person at this restaurant looks into ensuring consistency in food quality, their business will go nose down and that will be a shame.",Islamabad
i371,i5,371,5,i,Murad,3/5 Stars,19-07-21,It didn't pack vegetables rice as per my choice but noodles.,Islamabad
i372,i5,372,5,i,M,1/5 Stars,14-07-21,"Pathetic, smelly food. Total waste of money. Beef was not well cooked either. I wonder if the Cheff knows about Chinese cuisine.",Islamabad
i373,i5,373,5,i,Aisha,1/5 Stars,10-07-21,Food was smelly and had chichra pathetic,Islamabad
i374,i5,374,5,i,Barika,1/5 Stars,10-07-21,Stale food!!! Smelled old tasted old tossed - delivered over an hour late,Islamabad
i375,i5,375,5,i,Nayab,5/5 Stars,09-07-21,Dumplings 👍👍👍,Islamabad
i376,i5,376,5,i,ShehryarAkbar,5/5 Stars,09-07-21,Great 👍,Islamabad
i377,i5,377,5,i,Shalalay,1/5 Stars,08-07-21,Seasame chicken was dry and burnt. I specifically asked them not to include cabbage in the chowmein and they did. The chowmein was full of vegetables and very less noodles.,Islamabad
i378,i5,378,5,i,Sajjl,5/5 Stars,07-07-21,"Perfect! The quantity was good, the taste divine!",Islamabad
i379,i5,379,5,i,Nadeem,2/5 Stars,05-07-21,"not up to the mark this time , they used to be really good, food used to be fresh snd every dish used to taste different, this time there were too many spices ans sauses and all mixed up.",Islamabad
i380,i5,380,5,i,Rida,5/5 Stars,04-07-21,Ordered Hot n Sour soup and King Pao Fish with Egg fried rice. Instructions were followed and the quality and taste were great as always. Thanks.,Islamabad
i381,i5,381,5,i,MohammedOmer,4/5 Stars,03-07-21,Too spicey!!! Requested not to put any chillies but request was ignored.,Islamabad
i382,i5,382,5,i,Syed,4/5 Stars,03-07-21,At time Don't really read the instructions given by customer on the order. And too spicy,Islamabad
i383,i5,383,5,i,S,1/5 Stars,27-06-21,Aoa Ping pong I ordered 3 dishes from you via panda. Two were good (honey crunchy chicken. Pepper beef) but the chicken chow mein tasted good but smelt bad so I had only a little. My guest ate more and complained of digestive problem. It was most embarrassing. I still have some left in case you want to check. Please tell me what to do. This has never happened with other deliveries. Salam Dr Khan,Islamabad
i384,i5,384,5,i,Imran,5/5 Stars,25-06-21,Excellent,Islamabad
i385,i6,385,6,i,Ahmed,1/5 Stars,13-09-21,Order sausage but it was chicken tikka and so spicy,Islamabad
i386,i6,386,6,i,Rizwan,1/5 Stars,09-08-21,9 inch ka pizza bol k bhjty 5 inch han totally bakwas experience,Islamabad
i387,i6,387,6,i,Madiha,1/5 Stars,04-06-21,Diappointed..too bad!!jusy waste of money,Islamabad
i388,i6,388,6,i,Safwan,4/5 Stars,16-03-21,Taste was average. Not much difference between the two flavours (Fajita and Margherita). Stuffing was 3.5/5. Should work on their taste and quantity. Pricing is reasonable and deals are great too.,Islamabad
i389,i6,389,6,i,Adnan,2/5 Stars,13-03-21,Bland... Seems like old meat chunks,Islamabad
i390,i6,390,6,i,Sadia,1/5 Stars,02-03-21,"Pizza was  very  small in size 
 don't  like very expensive",Islamabad
