foodID,restaurantID,foodNumber,linkNumber,cityCode,foodName,foodPrice,foodImage,city
l4861,l3,4861,3,l,Anda Shami Taka Tak,Rs. 125,https://images.deliveryhero.io/image/fd-pk/Products/5908527.jpg?width=200,Lahore
l4862,l3,4862,3,l,Anda Peyaz Bhujia,Rs. 110,https://images.deliveryhero.io/image/fd-pk/Products/6411595.jpg?width=200,Lahore
l4863,l3,4863,3,l,Moong Msoor Daal,from Rs. 100,https://images.deliveryhero.io/image/fd-pk/Products/5892263.jpg?width=200,Lahore
l4864,l3,4864,3,l,Daal Chawal,from Rs. 150,https://images.deliveryhero.io/image/fd-pk/Products/4757989.jpg?width=200,Lahore
l4865,l3,4865,3,l,Homemade Paratha,from Rs. 50,https://images.deliveryhero.io/image/fd-pk/Products/4757135.jpg?width=200,Lahore
l4866,l3,4866,3,l,Sausages Cheese Pasta,Rs. 390,https://images.deliveryhero.io/image/fd-pk/Products/5699488.jpg?width=200,Lahore
l4867,l3,4867,3,l,Alfredo Pasta,Rs. 350,https://images.deliveryhero.io/image/fd-pk/Products/5699487.jpg?width=200,Lahore
l4868,l3,4868,3,l,Creamy Mac & Cheese,from Rs. 250,https://images.deliveryhero.io/image/fd-pk/Product/6457309.jpg?width=200,Lahore
l4869,l3,4869,3,l,Achari Chicken ,from Rs. 250,https://images.deliveryhero.io/image/fd-pk/Products/4904693.jpg?width=200,Lahore
l4870,l3,4870,3,l,Daal Channa,Rs. 180,https://images.deliveryhero.io/image/fd-pk/Products/4757991.jpg?width=200,Lahore
l4871,l3,4871,3,l,Bhindi Sabzi,Rs. 160,https://images.deliveryhero.io/image/fd-pk/Products/6635798.jpg?width=200,Lahore
l4872,l3,4872,3,l,Chicken Haleem,Rs. 160,https://images.deliveryhero.io/image/fd-pk/Products/4757198.jpg?width=200,Lahore
l4873,l3,4873,3,l,Aloo Bingan Sabzi,Rs. 125,https://images.deliveryhero.io/image/fd-pk/Products/5207146.jpg?width=200,Lahore
l4874,l3,4874,3,l,Anda Shami Taka Tak,Rs. 125,https://images.deliveryhero.io/image/fd-pk/Products/5908527.jpg?width=200,Lahore
l4875,l3,4875,3,l,Anda Peyaz Bhujia,Rs. 110,https://images.deliveryhero.io/image/fd-pk/Products/6411595.jpg?width=200,Lahore
l4876,l3,4876,3,l,Moong Msoor Daal,from Rs. 100,https://images.deliveryhero.io/image/fd-pk/Products/5892263.jpg?width=200,Lahore
l4877,l3,4877,3,l,Arvi Sabzi,Rs. 135,https://images.deliveryhero.io/image/fd-pk/Products/7273692.jpg?width=200,Lahore
l4878,l3,4878,3,l,Chicken Chapli Kabab Meal,from Rs. 130,https://images.deliveryhero.io/image/fd-pk/Product/6215171.jpg?width=200,Lahore
l4879,l3,4879,3,l,Chicken Seekh Kabab,Rs. 130,https://images.deliveryhero.io/image/fd-pk/Product/6215172.jpg?width=200,Lahore
l4880,l3,4880,3,l,Egg Cheese Sandwich,Rs. 140,https://images.deliveryhero.io/image/fd-pk/Product/6127563.jpg?width=200,Lahore
l4881,l3,4881,3,l,Egg Shami Sandwich ,Rs. 130,https://images.deliveryhero.io/image/fd-pk/Products/5908526.jpg?width=200,Lahore
l4882,l3,4882,3,l,Double Chicken Chapli Sandwich,from Rs. 120,https://images.deliveryhero.io/image/fd-pk/Products/5908563.jpg?width=200,Lahore
l4883,l3,4883,3,l,Paratha Daal,from Rs. 135,https://images.deliveryhero.io/image/fd-pk/Products/5609614.jpg?width=200,Lahore
l4884,l3,4884,3,l,Omelette Cheese Sandwich,from Rs. 130,https://images.deliveryhero.io/image/fd-pk/Products/5644027.jpg?width=200,Lahore
l4885,l3,4885,3,l,Egg Toast,from Rs. 100,https://images.deliveryhero.io/image/fd-pk/Product/5603380.webp?width=200,Lahore
l4886,l3,4886,3,l,French Omelette,Rs. 100,https://images.deliveryhero.io/image/fd-pk/Products/5783352.jpg?width=200,Lahore
l4887,l3,4887,3,l,French Toast,from Rs. 100,https://images.deliveryhero.io/image/fd-pk/Products/4917434.jpg?width=200,Lahore
l4888,l3,4888,3,l,Omelette Toast,from Rs. 100,https://images.deliveryhero.io/image/fd-pk/Product/6149064.jpg?width=200,Lahore
