linkNumber,reviewBy,reviewRating,reviewAt,reviewDescription,city
6,Rizwan,1/5 Stars,09-08-21,9 inch ka pizza bol k bhjty 5 inch han totally bakwas experience,Islamabad
6,Madiha,1/5 Stars,04-06-21,Diappointed..too bad!!jusy waste of money,Islamabad
6,Safwan,4/5 Stars,16-03-21,Taste was average. Not much difference between the two flavours (Fajita and Margherita). Stuffing was 3.5/5. Should work on their taste and quantity. Pricing is reasonable and deals are great too.,Islamabad
6,Adnan,2/5 Stars,13-03-21,Bland... Seems like old meat chunks,Islamabad
6,Sadia,1/5 Stars,02-03-21,"Pizza was  very  small in size 
 don't  like very expensive",Islamabad
6,waqas,1/5 Stars,28-12-20,"Ajeeb log hen yeh . Double offer mai 2 pizza ki jaga aik pizza bhej dia inhon ne . 
Engr Waqas 03135858862",Islamabad
6,Amna,1/5 Stars,29-10-20,No fries were given,Islamabad
6,Shehzada,1/5 Stars,14-10-20,Very bed,Islamabad
6,syed,3/5 Stars,20-09-20,It was extremely spicy.,Islamabad
6,Hassaan,5/5 Stars,09-09-20,It was too Good,Islamabad
6,Muhammad,1/5 Stars,26-08-20,Very bad,Islamabad
6,MuhammedSaad,1/5 Stars,24-07-20,Order was incomplete.. did not recieve fries with the Beef Burger,Islamabad
6,Khizir,5/5 Stars,19-06-20,"It was delicious and good volume, Alhumdolillah.",Islamabad
6,Maryam,3/5 Stars,18-06-20,Less cheese,Islamabad
6,Mrs,5/5 Stars,15-06-20,The taste was awsom higly recomended,Islamabad
6,Syed,4/5 Stars,14-06-20,Good taste,Islamabad
6,Muhammad,5/5 Stars,14-06-20,Superb taste! Keep it up!,Islamabad
6,Syed,5/5 Stars,01-03-20,Awesome taste. I surprised when I take first bite of pizza very very tasty. Highly recommended. Thanks pizza walla you win my heart keep it up and maintain this quality. Inshallah you can beat all pizza restaurants in islamabad.,Islamabad
6,Bilal,5/5 Stars,28-02-20,"After a long time, came across a tasty pizza outlet on food panda, great taste, delicious. Highly recommended, if quality is sustained.",Islamabad
7,Adeel,1/5 Stars,03-08-21,"It was such a let down, pathetic burgers, zero value for money. Ordered their smash burger for 999 & it didn't worth it. 😑",Islamabad
7,Mohsin,3/5 Stars,20-07-21,Food was not good enough,Islamabad
7,Fahad,3/5 Stars,08-07-21,Food was not good also salt was more,Islamabad
7,Shaharyar,3/5 Stars,26-06-21,One of the sandwiches was overgrilled. But the other was okay.,Islamabad
7,Ahmed,3/5 Stars,26-06-21,Nt as expected,Islamabad
7,Ahmed,2/5 Stars,19-06-21,"Food was normal fries was not awesome as i have heard ...
These guys must try midnight kitchen loaded fries",Islamabad
7,Humayun,4/5 Stars,27-05-21,"Their burgers are good, no doubt, but they pack it in paper only and not fully wrapped, they pack it as if serving in on a table at the restaurant, I mean come on, sometimes they forget to complete the order and I have to pay for the missing item, thats really unprofessional, they should make sure every order is complete. I guess only the food is good other wise everything thing is bad, they need it scale up on basics !",Islamabad
7,Adnan,1/5 Stars,13-05-21,"absolute waste of money and to simply put; tasteless, mediocre and unappealing at best.",Islamabad
7,Affrasyab,5/5 Stars,10-05-21,"Well cooked 
Taste 10/10
Packaging 10/10",Islamabad
7,Zaman,5/5 Stars,06-05-21,Cold drink was not included,Islamabad
7,Saddam,2/5 Stars,11-04-21,The beef was raw from the inside,Islamabad
7,Muhammad,4/5 Stars,09-04-21,The burger was value. The chips not so much but they were warm,Islamabad
7,Antash,2/5 Stars,01-04-21,Bread to patty ratio was skewed towards bread. Fries had fallen in the bag,Islamabad
7,Affrasyab,5/5 Stars,01-04-21,10-Oct,Islamabad
7,Mehdi,3/5 Stars,28-03-21,Quantity was less for price I hated it the price,Islamabad
7,Safwan,5/5 Stars,16-03-21,Not bad.,Islamabad
7,Ahmad,5/5 Stars,16-03-21,A little expensive but the burger was so good,Islamabad
7,Khurram,4/5 Stars,10-03-21,Packaging needs to be improved. One item was missing from order. Food quality and taste was exceptional.,Islamabad
7,Adeel,5/5 Stars,27-02-21,Food was great,Islamabad
7,Farhan,5/5 Stars,06-01-21,The Nashville hot chicken is the best!,Islamabad
7,Nazoora,3/5 Stars,02-01-21,"The soup was bad, it was beyond sour and the smell of vinegar was so strong! the Peri peri wings were dripping with sauce. Not properly coated. But the thigh fillet marinated burger was really good.",Islamabad
